skill,n,auc,logloss,acc@0.5
0,2589,0.48898678414096913,0.2811362167480754,0.9190283400809717
1,2893,0.5232631096310238,0.26057691111646036,0.9272959183673469
10,2725,0.535250146570256,0.28558097512980024,0.9171483622350675
11,2731,0.5618990384615385,0.25731303271198747,0.9285714285714286
12,2994,0.43783247487967586,0.2738534993839253,0.9211324570273003
13,2858,0.5179487179487179,0.27813953447040557,0.9202453987730062
14,3739,0.40640156453715776,0.2302558981045343,0.9388004895960832
15,3459,0.4530129124820661,0.21816582039010982,0.9431664411366711
16,2995,0.5216639101671309,0.2793121371332,0.9181585677749361
17,3543,0.5418275418275418,0.22500357460804257,0.940677966101695
18,2644,0.5395833333333333,0.24418534808944561,0.9336099585062241
19,3912,0.5188291139240506,0.2256546673385453,0.9404761904761905
20,3395,0.49511516563147,0.23801528092934815,0.935933147632312
21,3977,0.5109406081273089,0.23147669377764205,0.9383499546690843
22,3297,0.48869047619047623,0.2786961600073438,0.92003046458492
23,2468,0.5209141704175073,0.2843998272529273,0.9176755447941889
24,2513,0.5167552914190386,0.30326411987614144,0.9096858638743456
25,3521,0.5746124031007751,0.19765344729585915,0.9502762430939227
26,3491,0.5496101609657948,0.22829114822125043,0.9395085066162571
27,2924,0.5208770090845563,0.22659598756411978,0.9401330376940134
28,3165,0.6104716768223877,0.25418824656883793,0.9281524926686217
29,2793,0.5620192307692308,0.23613980623954223,0.9326424870466321
3,2667,0.5176635075136612,0.2797482572448318,0.9195979899497487
30,3760,0.3664705882352941,0.19620383161530877,0.9507829977628636
31,3487,0.5340159131561093,0.21562156443900515,0.944043321299639
32,2065,0.501123366013072,0.3132132209027945,0.9053254437869822
33,2514,0.5541784702549575,0.28626588832662725,0.9168831168831169
34,3281,0.5200561090117943,0.2574781665593937,0.9285091543156059
35,3090,0.5322509094135391,0.25730439009629036,0.9285714285714286
36,2810,0.4833333333333333,0.2711993132289425,0.9230769230769231
37,3296,0.46823076923076923,0.22134896656347994,0.9420289855072463
38,4534,0.5314491320588881,0.18085876373001927,0.9558665231431647
39,3472,0.41861866385478647,0.23052443645550816,0.9387019230769231
4,3224,0.5585593220338982,0.23643439769091337,0.9365079365079365
40,2918,0.483342670401494,0.2880319488164289,0.9161676646706587
41,3525,0.5036010362694301,0.2292370752008713,0.9391727493917275
42,2993,0.5332025444384995,0.29335400360185815,0.913926499032882
43,2605,0.5133463168747852,0.29757896887423557,0.9121212121212121
45,2552,0.5714285714285714,0.2758464637250141,0.9210526315789473
46,2699,0.5286290322580646,0.2694504667910595,0.9237187127532777
47,2895,0.4826391504104843,0.2948149686368232,0.9133089133089133
48,3296,0.47342687074829937,0.22057154512226612,0.9423076923076923
49,2488,0.485858337432366,0.3074152452291408,0.9078787878787878
5,2379,0.6244541484716157,0.28123785575811533,0.916
6,2602,0.5037115863787376,0.26704786944557785,0.9247311827956989
7,2634,0.4955357142857143,0.24492428949737235,0.9333333333333333
8,2849,0.5074802983690843,0.2605794641266844,0.9272943980929678
9,3470,0.5114151272220285,0.2247312893206514,0.940809968847352
