skill,n,auc,logloss,acc@0.5
0,2589,0.49867841409691627,0.2811353627328828,0.9190283400809717
1,2893,0.5228649339993725,0.2605767363272796,0.9272959183673469
10,2725,0.5401846785225718,0.28565791847000754,0.9171483622350675
11,2731,0.5709134615384616,0.25716622459677935,0.9285714285714286
12,2994,0.5541247994595964,0.27599176415646803,0.9211324570273003
13,2858,0.5383974358974359,0.2781694385441481,0.9202453987730062
14,3739,0.41275097783572356,0.22749885041630863,0.9388004895960832
15,3459,0.4652763544442167,0.21816526780975032,0.9431664411366711
16,2995,0.5396283077994429,0.2776087154118133,0.9181585677749361
17,3543,0.5508365508365508,0.2249129394920194,0.940677966101695
18,2644,0.5337500000000001,0.24416317607152754,0.9336099585062241
19,3912,0.5180028129395218,0.22565480349815953,0.9404761904761905
20,3395,0.5014072204968945,0.23801408414415356,0.935933147632312
21,3977,0.5111395282750781,0.23148015066615366,0.9383499546690843
22,3297,0.5150701671397035,0.2786938667147406,0.92003046458492
23,2468,0.5188964767965233,0.2843966021763608,0.9176755447941889
24,2513,0.5207694713794182,0.3032621119906508,0.9096858638743456
25,3521,0.37273901808785537,0.19770151312060474,0.9502762430939227
26,3491,0.3996793259557344,0.2283194430637293,0.9395085066162571
27,2924,0.5192173305380852,0.22658611805660833,0.9401330376940134
28,3165,0.6200793113453912,0.2533192324211239,0.9281524926686217
29,2793,0.5787393162393162,0.24672975851846302,0.9326424870466321
3,2667,0.48853739754098363,0.27975113138806595,0.9195979899497487
30,3760,0.36572192513368984,0.19620362625142213,0.9507829977628636
31,3487,0.2947943008696725,0.21569470518902992,0.944043321299639
32,2065,0.49754901960784315,0.31321464628407203,0.9053254437869822
33,2514,0.5516111898016997,0.28610834073849317,0.9168831168831169
34,3281,0.5183499370204969,0.2574757536585607,0.9285091543156059
35,3090,0.5333747375269866,0.25730910138375496,0.9285714285714286
36,2810,0.47333333333333333,0.271189666095012,0.9230769230769231
37,3296,0.4683076923076923,0.22134811654346082,0.9420289855072463
38,4534,0.5383432212700505,0.18086354898281992,0.9558665231431647
39,3472,0.5450905073937385,0.2305041478807875,0.9387019230769231
4,3224,0.4711016949152542,0.23247768942856484,0.9365079365079365
40,2918,0.48070028011204474,0.2880319335382853,0.9161676646706587
41,3525,0.46161917098445593,0.229238446715509,0.9391727493917275
42,2993,0.5439985732120564,0.2933195468339543,0.913926499032882
43,2605,0.47571314010768706,0.2976038777494893,0.9121212121212121
45,2552,0.5706511175898931,0.27578554457611687,0.9210526315789473
46,2699,0.5310887096774195,0.26956208278229965,0.9237187127532777
47,2895,0.5009226481885969,0.29480695320087014,0.9133089133089133
48,3296,0.5085034013605443,0.22056899951401518,0.9423076923076923
49,2488,0.48610427939006395,0.3074173924456745,0.9078787878787878
5,2379,0.5843210646704097,0.28799245191733325,0.916
6,2602,0.4993640988372092,0.26705541260262355,0.9247311827956989
7,2634,0.45089285714285715,0.2449437916565634,0.9333333333333333
8,2849,0.5081545787854523,0.26058006085344815,0.9272943980929678
9,3470,0.5195189961659115,0.22471353429959479,0.940809968847352
