domain,epoch,logloss,mse,mean_a,mean_b,mean_c,mean_theta,std_theta
基本的なファイル管理,1,0.6998328176979784,0.25335040944843007,1.0001407787197536,-0.010479903217613199,0.19476071325027514,-0.017812666728508873,0.04418429792681721
基本的なファイル管理,2,0.6899427488848776,0.24855275075382102,1.000641407880194,-0.020769612769161203,0.18959241919800232,-0.03529330916625677,0.08684987657164714
基本的なファイル管理,3,0.6807337855947021,0.24406383984906382,1.001441169292135,-0.030906199747419847,0.18449695228123322,-0.05250779012758684,0.12792966316949506
基本的なファイル管理,4,0.67217780751985,0.23987980812766804,1.002477646548945,-0.040909808903521576,0.17948533031438133,-0.06948907938696361,0.1673414390198217
基本的なファイル管理,5,0.6642028542361587,0.2359735317613852,1.0037020314736793,-0.05068822272699378,0.17462073042087245,-0.08608053414533517,0.20527563906796642
基本的なファイル管理,6,0.6567717957025812,0.23233234413080822,1.0050640438447374,-0.06028807020077552,0.16989546676961412,-0.1023609565025665,0.2417478186082344
基本的なファイル管理,7,0.6498616812100747,0.2289491122791625,1.0065130737959764,-0.06970984797449958,0.16532623985094827,-0.11833240283656334,0.27668122403804646
基本的なファイル管理,8,0.6438750916185518,0.22602412386007223,1.0080079466142757,-0.0789600590381313,0.16158201593326005,-0.13400491368856982,0.31013830161124334
基本的なファイル管理,9,0.6386687069604313,0.22348647489881976,1.0095131227913832,-0.08812119957696574,0.15851720031323513,-0.1495208740021555,0.34220254295089636
基本的なファイル管理,10,0.6346007532471517,0.22151064547398597,1.0109894291220454,-0.09710753712867301,0.1569547502059618,-0.16473218711500642,0.37287029237358993
基本的なファイル管理,11,0.631525536623234,0.22002237944389674,1.0124214724596796,-0.10603976111518205,0.1562115165316461,-0.17984617924675447,0.4023393740200149
基本的なファイル管理,12,0.6291993450309737,0.21889599997339595,1.0137627833172085,-0.11483416785914824,0.15518851075270362,-0.19471932230964217,0.4305762668521345
基本的なファイル管理,13,0.6271129709680998,0.21788696357448387,1.014985039529076,-0.12351760173181749,0.1540806535980425,-0.20939819334770227,0.45761518786255856
基本的なファイル管理,14,0.6255658512971796,0.21714341608294951,1.0160794200718353,-0.13206767477252035,0.1538165566030228,-0.22384517916392724,0.4835942008259267
基本的なファイル管理,15,0.6244417503154317,0.2166041515905839,1.0170203082998182,-0.14049328352368767,0.15412363485609828,-0.2380740913861914,0.5085547923157425
基本的なファイル管理,16,0.6236765410325998,0.21622837428174355,1.0178026966064062,-0.1488579950136069,0.15407188011593909,-0.2521945922241418,0.5325865613226121
基本的なファイル管理,17,0.6232088582059999,0.2159916456953946,1.0184055849125337,-0.15705719688379075,0.15412677906039052,-0.26602784460101003,0.5557667195389401
基本的なファイル管理,18,0.6229552924490338,0.21585489953039647,1.0188341111802515,-0.16517561923603186,0.15439415965449713,-0.2797192643135603,0.5781850142674315
基本的なファイル管理,19,0.6229163700788607,0.21581866002199435,1.0190621069791905,-0.1731427273121266,0.15495636419647868,-0.2931475564804062,0.5997846993015873
基本的なファイル管理,20,0.6232376907342374,0.21594758776598594,1.0190971482817055,-0.180999466177384,0.1556344802775086,-0.30638323668924594,0.6207156998064924
基本的なファイル管理,21,0.6236628408052628,0.21612086420052426,1.0189323383767772,-0.1887821787805051,0.15575067993293734,-0.3194883432762126,0.6410334373314324
