domain,epoch,logloss,mse,mean_a,mean_b,mean_c,mean_theta,std_theta
所有者とパーミッション,12,0.6557233688051213,0.2317651336067324,1.0088588934730927,-0.1437385488825097,0.15543353883878136,-0.1866317185319236,0.3832235231777822
所有者とパーミッション,13,0.6564459671962533,0.23208905077459732,1.0087612102809898,-0.15491661183672162,0.15560761240718218,-0.20112562281330373,0.4065541541514287
所有者とパーミッション,14,0.6572124772865874,0.23242617940660584,1.0083188920222546,-0.16600296190658137,0.15557076367792477,-0.21549866734856235,0.4289072036030525
所有者とパーミッション,15,0.6583751778073157,0.23294881021384536,1.0075251589020282,-0.17683896238338492,0.15636248657086124,-0.22954250289591627,0.45045780242343636
所有者とパーミッション,16,0.6597337087950603,0.23355791941863122,1.0063529743756647,-0.18761051769445453,0.15749873362840505,-0.24350116375522612,0.4711863844912113
所有者とパーミッション,17,0.6613611092976718,0.2342872396537333,1.0047905075622723,-0.19824135541438104,0.15854254671568085,-0.2572750492381206,0.49117698272948135
所有者とパーミッション,18,0.6630152575611167,0.23502393323729381,1.002835135740508,-0.2087727408009792,0.1600817525499525,-0.270916894151062,0.5105512476282285
所有者とパーミッション,19,0.6646373081430488,0.23574029250248904,1.0004772573521812,-0.21911399952949984,0.16134589291392543,-0.284309291741173,0.5293111696159554
所有者とパーミッション,20,0.6662822295738504,0.2364639193903758,0.9977054381072951,-0.22921628939937064,0.16298298491859217,-0.29738958885510614,0.5475239977670545
所有者とパーミッション,21,0.6679575566482601,0.237200270450782,0.9945386306932418,-0.23920978720253805,0.1645785586936907,-0.3103270825248136,0.5651987987557829
所有者とパーミッション,22,0.6696854602480776,0.23796019651995043,0.9909657864978091,-0.2489668723582219,0.1662417556070332,-0.32295498001286305,0.5824060714428415
所有者とパーミッション,23,0.6714199613783568,0.23872254246004151,0.9869932021570282,-0.2585369143024331,0.16724088612294247,-0.335338419534243,0.5991314937069421
所有者とパーミッション,24,0.6729199291914887,0.2393773673781226,0.9826226780158301,-0.2678453589271324,0.16866900367547738,-0.34738041936422653,0.6154462978074514
所有者とパーミッション,25,0.6743928281020555,0.24002527959944428,0.9778614553046994,-0.27685839415918156,0.1699393544602783,-0.35903672102819895,0.6313425680419646
所有者とパーミッション,26,0.6757016668320169,0.2406006750204214,0.9727112966837773,-0.2855621978280279,0.17156477115103647,-0.3702889173921382,0.6468768193734348
所有者とパーミッション,27,0.6768614144271813,0.2411149155958,0.9671949279048431,-0.2939767934292176,0.17307866421409707,-0.381163884586727,0.6620836683618003
所有者とパーミッション,28,0.6778072206260042,0.24153509136502893,0.9613191608312311,-0.3021349267013431,0.1746879623172353,-0.39170423891240813,0.6769386713723534
所有者とパーミッション,29,0.678537166287412,0.2418612621327836,0.9551018719574805,-0.30994253762959467,0.17629803344584227,-0.4017879049625182,0.6914573083893178
所有者とパーミッション,30,0.6790959016709981,0.2421175848165991,0.9485453175740276,-0.31746316008213754,0.17785472620303316,-0.41149718302232474,0.7056116784757509
