skill,n,auc,logloss,acc@0.5
0,2589,0.47731277533039645,0.28113667849624224,0.9190283400809717
1,2893,0.4663360602331137,0.2605781587226914,0.9272959183673469
10,2725,0.5374242720343951,0.28564780300619574,0.9171483622350675
11,2731,0.5709134615384616,0.257167226927408,0.9285714285714286
12,2994,0.5406710011539868,0.2758809437985248,0.9211324570273003
13,2858,0.5162820512820513,0.27809609468430535,0.9202453987730062
14,3739,0.413767926988266,0.2274979992709135,0.9388004895960832
15,3459,0.5117510418801667,0.21815457326654594,0.9431664411366711
16,2995,0.5211307451253482,0.2831908073914046,0.9181585677749361
17,3543,0.445945945945946,0.2251031658540528,0.940677966101695
18,2644,0.5305555555555554,0.24416664387993753,0.9336099585062241
19,3912,0.46343178621659636,0.22565538731546714,0.9404761904761905
20,3395,0.47279373706004146,0.23801528850050038,0.935933147632312
21,3977,0.45681301506109684,0.2314839002497786,0.9383499546690843
22,3297,0.5042257962787764,0.2786941950856766,0.92003046458492
23,2468,0.5237855036473693,0.28440993273094567,0.9176755447941889
24,2513,0.5567302679595454,0.2972798051606696,0.9096858638743456
25,3521,0.5801033591731266,0.19763298224370063,0.9502762430939227
26,3491,0.3915367203219316,0.2283194489681923,0.9395085066162571
27,2924,0.5151991614255764,0.22654906112176174,0.9401330376940134
28,3165,0.6121804171905729,0.2540108431402853,0.9281524926686217
29,2793,0.5872863247863248,0.2466753192056035,0.9326424870466321
3,2667,0.5187201161202185,0.2797326689299056,0.9195979899497487
30,3760,0.5033155080213904,0.19619875015965552,0.9507829977628636
31,3487,0.5345710232529453,0.21565107708709738,0.944043321299639
32,2065,0.40364583333333326,0.31323843392872236,0.9053254437869822
33,2514,0.5503718130311613,0.28612685818384004,0.9168831168831169
34,3281,0.43695179205313184,0.2574790513163174,0.9285091543156059
35,3090,0.4416348741608257,0.25731909667357494,0.9285714285714286
36,2810,0.4716666666666667,0.27119408143176416,0.9230769230769231
37,3296,0.5113846153846153,0.22134432737571844,0.9420289855072463
38,4534,0.5369286969896725,0.18086439567864848,0.9558665231431647
39,3472,0.5672842760663804,0.2305238286072298,0.9387019230769231
4,3224,0.5006779661016949,0.23647120477750547,0.9365079365079365
40,2918,0.4802334267040149,0.28803149267969136,0.9161676646706587
41,3525,0.4786269430051814,0.22923778855157645,0.9391727493917275
42,2993,0.5326496641103383,0.2933565180722574,0.913926499032882
43,2605,0.5211364417459045,0.2975073697591096,0.9121212121212121
45,2552,0.5855199222546162,0.2761825863443033,0.9210526315789473
46,2699,0.5306854838709678,0.26957120325696504,0.9237187127532777
47,2895,0.5038223996384724,0.2948098215501011,0.9133089133089133
48,3296,0.3409863945578232,0.2205738128130104,0.9423076923076923
49,2488,0.5031621108846884,0.30741968707424905,0.9078787878787878
5,2379,0.6009565398211686,0.2884303782364019,0.916
6,2602,0.5072155315614618,0.2670548722922486,0.9247311827956989
7,2634,0.5044642857142857,0.24492770660209576,0.9333333333333333
8,2849,0.49395254751569806,0.26058222701586453,0.9272943980929678
9,3470,0.5184733356570232,0.22472538411062906,0.940809968847352
